Title,TV Show,Available Globally?,Premiere Year,Hours Viewed (in 1M units)
American Manhunt: The Boston Marathon Bombing: Limited Series,NaN,Yes,2023,47.9
Twenty Five Twenty One: Season 1 // 스물다섯 스물하나: 시즌 1,Yes,Yes,2022,47.8
Shrek 2,NaN,No,NaN,47.5
JUNG_E // 정이,NaN,Yes,2023,47.1
Friends (1994): Season 3,Yes,No,NaN,46.9
The School for Good and Evil,NaN,Yes,2022,46.9
Puss in Boots (2011),NaN,No,NaN,46.6
The Thundermans: Season 2,Yes,No,NaN,46.5
Friends (1994): Season 1,Yes,No,NaN,46.4
Teen Titans Go!: Season 1,Yes,No,NaN,46.4
Rana Naidu: Season 1 // राणा नायडू: सीज़न 1,Yes,Yes,2023,46.3
From Scratch: Limited Series,NaN,Yes,2022,46.2
Bake Squad: Season 2,Yes,Yes,2023,46.1
Friends (1994): Season 7,Yes,No,NaN,46.1
Under the Queen's Umbrella: Limited Series // 슈룹: 리미티드 시리즈,NaN,Yes,2022,46.1
Ganglands: Season 2 // Braqueurs : La série: Saison 2,Yes,Yes,2023,46.0
The Queen's Gambit: Limited Series,NaN,Yes,2020,45.9
Virgin River: Season 4,Yes,Yes,2022,45.9
Gabby's Dollhouse: Season 7,Yes,Yes,2023,45.8
A Beautiful Life,NaN,Yes,2023,45.7
Peppa Pig: Season 6,Yes,No,NaN,45.7
Copycat Killer: Season 1 // 模仿犯: 第 1 季,Yes,Yes,2023,45.6
Avatar: The Last Airbender: Book 1,NaN,No,NaN,45.5
Friends (1994): Season 9,Yes,No,NaN,45.4
Peaky Blinders: Season 2,Yes,No,2014,45.4
The Flash (2014): Season 2,Yes,No,NaN,45.4
Boys Over Flowers: Volume 1 // 꽃보다 남자: 1권,NaN,No,NaN,45.3
The Office (U.S.): Season 2,Yes,No,NaN,45.3
Transatlantic: Limited Series,NaN,Yes,2023,45.3
Friends (1994): Season 4,Yes,No,NaN,45.2
Masha and the Bear: Season 2,Yes,No,NaN,45.1
Friends (1994): Season 8,Yes,No,NaN,44.9
The Woman King,NaN,No,NaN,44.9
Love Island USA: Season 2,Yes,No,NaN,44.8
Money Heist: Part 5 // La casa de papel: Parte 5,NaN,Yes,2021,44.7
The Walking Dead: Season 1,Yes,No,NaN,44.6
Grey's Anatomy: Season 3,Yes,No,NaN,44.3
S.W.A.T. (2017): Season 3,Yes,No,NaN,44.2
Las muñecas de la mafia: Season 1,Yes,No,2015,44.0
Lucifer: Season 4,Yes,No,2019,44.0
Better Call Saul: Season 5,Yes,No,2020,43.9
Teen Wolf (2011): Season 3,Yes,No,NaN,43.9
Friends (1994): Season 2,Yes,No,NaN,43.8
In Love All Over Again: Season 1 // Todas las veces que nos enamoramos: Season 1,Yes,Yes,2023,43.8
PIECES OF HER: Season 1,Yes,Yes,2022,43.8
F9: The Fast Saga,NaN,No,NaN,43.7
The 100: Season 1,Yes,No,NaN,43.6
The Blacklist: Season 7,Yes,No,NaN,43.5
Vikings (2013): Season 5,Yes,No,NaN,43.4
Shameless (U.S.): Season 2,Yes,No,NaN,43.3
The Office (U.S.): Season 6,Yes,No,NaN,43.3
El Chema: Season 1,Yes,No,NaN,43.2
Rosario Tijeras (Mexico): Season 2,Yes,No,NaN,43.2
Santiago of the Seas: Season 1,Yes,No,NaN,43.2
